index,value,label,truth,anomaly,doLabel
573,880,880,99,1,FALSE
574,880,880,99,1,FALSE
575,880,880,99,1,FALSE
576,99,99,99,0,FALSE
577,88,88,88,0,FALSE
578,88,88,88,0,FALSE
579,99,99,99,0,FALSE
580,88,88,88,0,FALSE
581,99,99,99,0,FALSE
582,935,935,935,0,FALSE
583,935,935,935,0,FALSE
584,935,935,935,0,FALSE
585,935,935,935,0,FALSE
586,935,935,935,0,FALSE
587,935,935,935,0,FALSE
588,935,935,935,0,FALSE
589,935,935,935,0,FALSE
590,935,935,935,0,FALSE
591,935,935,935,0,FALSE
592,913,913,913,0,FALSE
593,935,935,935,0,FALSE
594,924,924,924,0,FALSE
595,924,924,924,0,FALSE
596,924,924,924,0,FALSE
597,924,924,924,0,FALSE
598,924,924,924,0,FALSE
599,924,924,924,0,FALSE
600,924,924,924,0,FALSE
601,913,913,913,0,FALSE
602,924,924,924,0,FALSE
603,924,924,924,0,FALSE
604,924,924,924,0,FALSE
605,935,935,935,0,FALSE
606,935,935,935,0,FALSE
607,924,924,924,0,FALSE
608,935,935,935,0,FALSE
609,924,924,924,0,FALSE
610,924,924,924,0,FALSE
611,935,935,935,0,FALSE
612,935,935,935,0,FALSE
613,935,935,935,0,FALSE
614,935,935,935,0,FALSE
615,924,924,924,0,FALSE
616,935,935,935,0,FALSE
617,924,924,924,0,FALSE
618,924,924,924,0,FALSE
619,924,924,924,0,FALSE
620,924,924,924,0,FALSE
621,924,924,924,0,FALSE
622,924,924,924,0,FALSE
623,924,924,924,0,FALSE
624,924,924,924,0,FALSE
625,924,924,924,0,FALSE
626,924,924,924,0,FALSE
627,935,935,935,0,FALSE
628,935,935,935,0,FALSE
629,924,924,924,0,FALSE
630,935,935,935,0,FALSE
631,924,924,924,0,FALSE
632,924,924,924,0,FALSE
633,924,924,924,0,FALSE
634,935,935,935,0,FALSE
635,935,935,935,0,FALSE
636,924,924,924,0,FALSE
637,935,935,935,0,FALSE
638,935,935,935,0,FALSE
639,924,924,924,0,FALSE
640,924,924,924,0,FALSE
641,924,924,924,0,FALSE
